NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
HH MUTANTS ARE DEGRADED BY ERAD%REACTOME%R-HSA-5362768.2	HH MUTANTS ARE DEGRADED BY ERAD%REACTOME%R-HSA-5362768.2		52	0.21613836	---	---	1	0	1001	"tags=29%, list=8%, signal=31%"
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 75%9010553	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 75%9010553		152	0.36223593	---	---	1	0	1001	"tags=36%, list=8%, signal=39%"
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3		114	0.46659312	---	---	1	0	1127	"tags=44%, list=9%, signal=48%"
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339		106	0.53145754	---	---	1	0	941	"tags=42%, list=7%, signal=44%"
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3		58	0.36976913	---	---	1	0	1112	"tags=40%, list=9%, signal=43%"
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2		107	0.5352767	---	---	1	0	1127	"tags=47%, list=9%, signal=51%"
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2		84	0.68928736	---	---	1	0	1127	"tags=56%, list=9%, signal=61%"
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312		185	0.26602367	---	---	1	0	990	"tags=25%, list=8%, signal=27%"
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2		110	0.377374	---	---	1	0	977	"tags=39%, list=8%, signal=42%"
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3	UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.3		47	0.26665598	---	---	1	0	1001	"tags=32%, list=8%, signal=35%"
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3		169	0.29417822	---	---	1	0	990	"tags=27%, list=8%, signal=28%"
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4		84	0.641929	---	---	1	0	1127	"tags=54%, list=9%, signal=58%"
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522		97	0.518005	---	---	1	0	941	"tags=42%, list=7%, signal=45%"
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1		90	0.5523294	---	---	1	0	1127	"tags=51%, list=9%, signal=56%"
"RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1"	"RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1"		94	0.18794797	---	---	1	0	1047	"tags=23%, list=8%, signal=25%"
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773		179	0.28047806	---	---	1	0	990	"tags=26%, list=8%, signal=27%"
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		106	0.5068386	---	---	1	0	1127	"tags=46%, list=9%, signal=50%"
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2		96	0.6087213	---	---	1	0	1127	"tags=51%, list=9%, signal=56%"
FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME%R-HSA-8854050.2	FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME%R-HSA-8854050.2		51	0.24049813	---	---	1	0	1001	"tags=31%, list=8%, signal=34%"
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1		110	0.377374	---	---	1	0	977	"tags=39%, list=8%, signal=42%"
METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 75%351202	METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 75%351202		53	0.25000995	---	---	1	0	1001	"tags=26%, list=8%, signal=29%"
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3		91	0.21127997	---	---	1	0	1047	"tags=24%, list=8%, signal=26%"
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737		114	0.46659312	---	---	1	0	1127	"tags=44%, list=9%, signal=48%"
NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME%R-HSA-9604323.1	NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME%R-HSA-9604323.1		51	0.2651297	---	---	1	0	1001	"tags=31%, list=8%, signal=34%"
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557		87	0.6001466	---	---	1	0	1127	"tags=52%, list=9%, signal=56%"
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS		81	0.49150702	---	---	1	0	1127	"tags=52%, list=9%, signal=57%"
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER%GOBP%GO:0045047		102	0.43309826	---	---	1	0	844	"tags=38%, list=7%, signal=41%"
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972	PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972		128	0.25961187	---	---	1	0	844	"tags=31%, list=7%, signal=33%"
VIRAL TRANSCRIPTION%GOBP%GO:0019083	VIRAL TRANSCRIPTION%GOBP%GO:0019083		112	0.27566373	---	---	1	0	844	"tags=34%, list=7%, signal=36%"
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613		95	0.48209384	---	---	1	0	941	"tags=42%, list=7%, signal=45%"
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904		76	0.21910517	---	---	1	0	1047	"tags=25%, list=8%, signal=27%"
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612		162	0.22674447	---	---	1	0	537	"tags=20%, list=4%, signal=21%"
APOPTOTIC MITOCHONDRIAL CHANGES%GOBP%GO:0008637	APOPTOTIC MITOCHONDRIAL CHANGES%GOBP%GO:0008637		39	0.24729107	---	---	1	0	560	"tags=18%, list=4%, signal=19%"
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599		106	0.35869136	---	---	1	0	844	"tags=37%, list=7%, signal=39%"
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		104	0.52735925	---	---	1	0	1127	"tags=44%, list=9%, signal=48%"
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775		66	0.32425743	---	---	1	0	1047	"tags=29%, list=8%, signal=31%"
DRUG CATABOLIC PROCESS%GOBP%GO:0042737	DRUG CATABOLIC PROCESS%GOBP%GO:0042737		64	0.39632204	---	---	1	0	503	"tags=16%, list=4%, signal=16%"
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273		62	0.1575142	---	---	1	0	1312	"tags=27%, list=10%, signal=30%"
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614		89	0.5614591	---	---	1	0	1127	"tags=49%, list=9%, signal=54%"
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357		44	0.5000036	---	---	1	0	366	"tags=32%, list=3%, signal=33%"
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340		48	0.45791802	---	---	1	0	366	"tags=29%, list=3%, signal=30%"
ANTIBIOTIC METABOLIC PROCESS%GOBP%GO:0016999	ANTIBIOTIC METABOLIC PROCESS%GOBP%GO:0016999		80	0.28939065	---	---	1	0	381	"tags=11%, list=3%, signal=12%"
COFACTOR CATABOLIC PROCESS%GOBP%GO:0051187	COFACTOR CATABOLIC PROCESS%GOBP%GO:0051187		40	0.5364554	---	---	1	0	222	"tags=20%, list=2%, signal=20%"
TRANSLATIONAL INITIATION%GOBP%GO:0006413	TRANSLATIONAL INITIATION%GOBP%GO:0006413		120	0.3938552	---	---	1	0	1127	"tags=40%, list=9%, signal=43%"
REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:0072593	REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:0072593		61	0.41741574	---	---	1	0	611	"tags=25%, list=5%, signal=26%"
"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184"	"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184"		111	0.36104268	---	---	1	0	1127	"tags=42%, list=9%, signal=46%"
