"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"37","-1.0","-0.6921","0.0442","PID_HES_HEY_
PATHWAY%MSIGDB_
C2%PID_HES_HEY_
PATHWAY","0.986","CDKN1B|CREBBP|MAML2|MYB|MAML1|RBPJ|NOTCH1|NCOR1|EP300|STAT3|PARP1|CAMK2D|HDAC1|KDM1A|GATA1|RUNX2|NCOR2|NCOA1|SPEN|GAA|RCAN1|RBBP8|HIF1A|YY1|TCF3|CTBP1|RB1","PID_HES_HEY_PATHWAY","27","ENR","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY","-1.5258","0.0","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY",,,"false","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY"
,"-0.9899","-0.6571","0.0849","ATM SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2516%HOMO 
SAPIENS ","1.0","CDK2|CHEK2|BRCA1|TLK1|SMC1A|NFKBIA|CREB1|ATF2|MDM4|TP53BP1|GADD45A|ATM|MRE11A|MAPK9|RAD50|FANCD2|RAD9A|MDC1|IKBKG|CDKN1A|JUN|NBN|RIPK1|MDM2","ATM Signaling Pathway","24","ENR","ATM SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2516%HOMO SAPIENS","-1.4304","0.0101","ATM SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2516%HOMO SAPIENS",,,"false","ATM SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2516%HOMO SAPIENS"
"13","-0.999","-0.7104","0.0335","BIOCARTA_NFAT_
PATHWAY%MSIGDB_
C2%BIOCARTA_NFAT_
PATHWAY","0.956","GSK3B|MAPK8|MAP2K1|HRAS|CREBBP|RPS6KB1|MEF2C|CALM2|PRKAR1B|PPP3CA|PRKAR1A|PPP3CC|RAF1|CAMK4|PIK3CA|NFATC3|NFATC1|NFATC2|PIK3R1|MAPK1|MAPK14|CAMK1|MAPK3|CSNK1A1","BIOCARTA_NFAT_PATHWAY","24","ENR","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY","-1.5459","0.001","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY",,,"false","BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY"
"13","-0.998","-0.6728","0.065","BIOCARTA_FMLP_
PATHWAY%MSIGDB_
C2%BIOCARTA_FMLP_
PATHWAY","1.0","GNA15|HRAS|FPR1|PPP3CA|PLCB1|PPP3CC|NFKBIA|RAF1|NFATC3|NFATC1|MAP2K2|NFATC2|MAPK1|PAK1|CAMK1|MAPK3|MAP2K1|CALM2|NCF2|NCF1|MAP2K3|MAPK14|MAP3K1|RELA|MAP2K6|RAC1|NFKB1","BIOCARTA_FMLP_PATHWAY","27","ENR","BIOCARTA_FMLP_PATHWAY%MSIGDB_C2%BIOCARTA_FMLP_PATHWAY","-1.4716","0.002","BIOCARTA_FMLP_PATHWAY%MSIGDB_C2%BIOCARTA_FMLP_PATHWAY",,,"false","BIOCARTA_FMLP_PATHWAY%MSIGDB_C2%BIOCARTA_FMLP_PATHWAY"
"13","-0.9876","-0.7025","0.0626","BIOCARTA_HDAC_
PATHWAY%MSIGDB_
C2%BIOCARTA_HDAC_
PATHWAY","1.0","IGF1R|MAPK7|CALM2|PPP3CA|CABIN1|PPP3CC|PIK3CA|NFATC1|NFATC2|PIK3R1|HDAC5|INSR|MAPK14|CAMK1|MAP2K6","BIOCARTA_HDAC_PATHWAY","15","ENR","BIOCARTA_HDAC_PATHWAY%MSIGDB_C2%BIOCARTA_HDAC_PATHWAY","-1.4801","0.0124","BIOCARTA_HDAC_PATHWAY%MSIGDB_C2%BIOCARTA_HDAC_PATHWAY",,,"false","BIOCARTA_HDAC_PATHWAY%MSIGDB_C2%BIOCARTA_HDAC_PATHWAY"
"13","-0.9979","-0.7282","0.0485","VITAMIN D IN 
INFLAMMATORY 
DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO 
SAPIENS ","0.996","PPP3CA|PPP3R1|NFKBIA|RXRA|NFATC1|MED14|IKBKB|IKBKG|NR3C1|CHUK|SMAD4|MAP2K3|MAPK14|MAP3K1|RELA|MAP2K6|NFKB1","Vitamin D in inflammatory diseases","17","ENR","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS","-1.5179","0.0021","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS",,,"false","VITAMIN D IN INFLAMMATORY DISEASES%WIKIPATHWAYS_20210210%WP4482%HOMO SAPIENS"
,"-0.9886","-0.7114","0.071","REGULATION OF 
PROTEIN 
POLYUBIQUITINATION%GOBP%GO:1902914 ","1.0","OTUB2|SASH1|PTPN22|PPIA|UBR5|DDX3X|NOD2|GPS2|PLAA|TRIM44|TRIP12|BIRC2|XIAP|PARP10|OTUB1","regulation of protein polyubiquitination","15","ENR","REGULATION OF PROTEIN POLYUBIQUITINATION%GOBP%GO:1902914","-1.4567","0.0114","REGULATION OF PROTEIN POLYUBIQUITINATION%GOBP%GO:1902914",,,"false","REGULATION OF PROTEIN POLYUBIQUITINATION%GOBP%GO:1902914"
,"-0.997","-0.6946","0.0553","
PHOSPHATIDYLSERINE 
METABOLIC 
PROCESS%GOBP%GO:0006658 ","1.0","ABHD16A|LPCAT4|PLA2G4A|ABHD12|OSBPL8|ABHD12B|SERINC1|SERINC5|PLA2G12A|MBOAT2|ABHD16B|PLA2G15|PLA2G4B|PTDSS2|PTDSS1|OSBPL10|LPCAT3|MBOAT1|SLC27A1|OSBPL5|PLSCR1","phosphatidylserine metabolic process","21","ENR","PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658","-1.5017","0.003","PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658",,,"false","PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658"
"39","-1.0","-0.6524","0.0681","IFN-GAMMA 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%IFN-GAMMA 
PATHWAY ","1.0","DAPK1|CREBBP|RAP1B|PTPN11|CASP1|SMAD7|PIAS4|PTGES2|PIK3CA|EP300|STAT1|STAT3|PIK3R1|IRF1|MAPK1|JAK1|MAPK3|AKT1|IL1B|MAP2K1|CALM3|RAPGEF1|CRKL|CBL|CAMK2D|IFNGR1|IRF9|PIAS1|PTPN2|MAP3K11|PRKCD|CEBPB|CAMK2G|MTOR|JAK2|MAP3K1|RAP1A","IFN-gamma pathway","37","ENR","IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY","-1.464","0.0","IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY",,,"false","IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY"
"39","-1.0","-0.7201","0.0203","PID_IFNG_
PATHWAY%MSIGDB_
C2%PID_IFNG_
PATHWAY","0.786","CREBBP|PTPN11|PIK3CA|EP300|STAT1|STAT3|PIK3R1|IRF1|MAPK1|JAK1|MAPK3|IL1B|MAP2K1|RAPGEF1|CRKL|CBL|CAMK2D|IFNGR1|PIAS1|IRF9|MAP3K11|CAMK2G|CEBPB|MTOR|MAP3K1|RAP1A","PID_IFNG_PATHWAY","26","ENR","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY","-1.5765","0.0","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY",,,"false","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY"
"35","-0.999","-0.717","0.0426","PID_REELIN_
PATHWAY%MSIGDB_
C2%PID_REELIN_
PATHWAY","0.982","GSK3B|MAPK8|RAPGEF1|CRKL|CBL|NCK2|MAP3K11|PAFAH1B1|DAB1|CDK5R1|PIK3CA|LRPAP1|ARHGEF2|ITGB1|PIK3R1|LRP8|FYN|CDK5|RAP1A","PID_REELIN_PATHWAY","19","ENR","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY","-1.5309","0.001","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY",,,"false","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY"
"35","-0.997","-0.6923","0.0588","REELIN SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%REELIN 
SIGNALING 
PATHWAY ","1.0","MAPK8|AKT1|GSK3B|RAPGEF1|CRKL|CBL|NCK2|MAP3K11|PAFAH1B1|DAB1|PIK3CA|CDK5R1|LRPAP1|ARHGEF2|ITGB1|PIK3R1|LRP8|FYN|MAPT|MAP2K7|CDK5|RAP1A","Reelin signaling pathway","22","ENR","REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY","-1.4911","0.003","REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY",,,"false","REELIN SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REELIN SIGNALING PATHWAY"
,"-1.0","-0.6205","0.0696","HALLMARK_UV_
RESPONSE_
DN%MSIGDB_
C2%HALLMARK_UV_
RESPONSE_DN","1.0","CDKN1B|ICA1|MYC|PRDM2|CDON|SFMBT1|INPP4B|AMPH|YTHDC1|ADD3|CACNA1A|KALRN|LTBP1|PTEN|ATXN1|PRKCA|GRK5|DYRK1A|MAP2K5|NR1D2|CDK13|PHF3|CITED2|CELF2|ERBB2|PTPRM|PRKCE|SYNE1|IRS1|NIPBL|DBP|PEX14|SIPA1L1|SLC22A18|WDR37|ANXA2|ATP2B4|ABCC1|ANXA4|ARHGEF9|FYN|ADORA2B|KCNMA1|RASA2|ATP2B1|MRPS31|ATP2C1|SDC2|VAV2|SLC7A1|LDLR|IGF1R|SRI|SPOP|LAMC1|APBB2|MGMT|CDC42BPA|FAM179B|AGGF1|FBLN5|BDNF|FHL2|TFPI|INSIG1|PIK3CD|ITGB3|AKT3|SCN8A|ZMIZ1|NR3C1|ACVR2A|MGLL|RUNX1|NRP1|RXRA|KIT|PIK3R3|TGFBR2|TGFBR3|MAPK14|BMPR1A|NFKB1","HALLMARK_UV_RESPONSE_DN","83","ENR","HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN","-1.4589","0.0","HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN",,,"false","HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN"
,"-1.0","-0.7349","0.0029","PATHWAYS 
AFFECTED IN 
ADENOID CYSTIC 
CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO 
SAPIENS ","0.147","CEBPA|KANSL1|MYC|HRAS|BCOR|CREBBP|MYB|DTX4|BRCA1|TLK1|SMC1A|BCORL1|NOTCH1|PTEN|RAF1|ATM|NCOR1|EP300|PIK3CA|MYBL1|ERBB2|MAP2K2|SETD2|CHEK2|ARID1A|FOXO3|FBXW7|KMT2C|JMJD1C|ARID4B|HIST1H1E|CMTR2|KDM6B|HIST1H2AK|CTBP1|ARID5B|MORF4L1|KAT6A|MYCBP|PRKDC|SRCAP|MGA|SMARCE1","Pathways Affected in Adenoid Cystic Carcinoma","43","ENR","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS","-1.6678","0.0","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS",,,"false","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS"
"36","-0.9969","-0.7386","0.0421","PHYSIOLOGICAL 
AND PATHOLOGICAL 
HYPERTROPHY  OF 
THE 
HEART%WIKIPATHWAYS_20210210%WP1528%HOMO 
SAPIENS ","0.982","MAPK8|CAMK2D|IL6ST|PPP3CA|CALM2|PRKCB|FOS|PRKCE|MYEF2|STAT3|MAPK1|JUN|MAP2K3|MAPK14|RAC1","Physiological and Pathological Hypertrophy  of the Heart","15","ENR","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS","-1.5304","0.0031","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS",,,"false","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS"
"36","-0.999","-0.6308","0.07","MICRORNAS IN 
CARDIOMYOCYTE 
HYPERTROPHY%WIKIPATHWAYS_20210210%WP1544%HOMO 
SAPIENS ","1.0","IKBKE|PRKCB|RAF1|MAP2K5|PIK3CA|EIF2B5|MAP2K2|MYEF2|STAT3|PIK3R1|MAPK1|FGFR2|MAPK3|GSK3B|IGF1R|MAP2K1|CAMK2D|CALM2|RCAN1|PRKG1|CDK7|MTOR|MYLK|FZD1|CISH|ROCK2|RAC1|MAPK8|ROCK1|MAP2K4|IL6ST|PIK3CD|DVL1|PPP3CA|PLCB2|CDK9|IKBKB|IKBKG|CHUK|PDPK1|HDAC5|HDAC4|CTNNB1|HDAC9|HDAC7|PIK3R2|TGFB1|MAPK7|LRP6|NRG1|EGF|PIK3R3|MAP2K3|MAPK14|MAP2K6|NFKB1","MicroRNAs in cardiomyocyte hypertrophy","56","ENR","MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20210210%WP1544%HOMO SAPIENS","-1.4581","0.001","MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20210210%WP1544%HOMO SAPIENS",,,"false","MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20210210%WP1544%HOMO SAPIENS"
,"-0.998","-0.7095","0.0533","VITAMIN 
D-SENSITIVE 
CALCIUM 
SIGNALING IN 
DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO 
SAPIENS ","1.0","SLC8A1|KDM1A|RXRA|BCL2|KDM3A|CACNA1C|ITPR2|NFE2L2|CYP27A1|GCLC|GPX4|CALB1|KDM6B|KCNQ3|ATP2B4|KDM1B|ATP2B1","Vitamin D-sensitive calcium signaling in depression","17","ENR","VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO SAPIENS","-1.5067","0.002","VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO SAPIENS",,,"false","VITAMIN D-SENSITIVE CALCIUM SIGNALING IN DEPRESSION%WIKIPATHWAYS_20210210%WP4698%HOMO SAPIENS"
"8","-1.0","-0.6115","0.0965","T CELL 
ACTIVATION%PANTHER 
PATHWAY%P00053 ","1.0","PIK3C3|HRAS|RAF1|ITPR1|PIK3CA|MAPK9|MAP2K2|PIK3R1|PAK1|MAPK1|ZAP70|MAPK3|AKT1|VAV2|MAP2K1|CD28|CD86|PRKCQ|CALM1|PAK2|RAC1|MAPK8|LCP2|ARAF|SOS1|PIK3CD|PTPRC|PPP3CA|PPP3CB|PPP3CC|NFKBIA|SOS2|BRAF|CDC42|AKT2|AKT3|CD3G|LAT|CD3E|CD3D|IKBKB|CD247|CHUK|SIRT6|JUN|CD80|VAV3|PIK3CB|PIK3R2|PLCG1|NCK1|NCK2|VAV1|CSK|FOS|PIK3CG|PIK3R3|MAP3K1|LCK|GRAP2|NRAS","T cell activation","61","ENR","T CELL ACTIVATION%PANTHER PATHWAY%P00053","-1.4108","0.0","T CELL ACTIVATION%PANTHER PATHWAY%P00053",,,"false","T CELL ACTIVATION%PANTHER PATHWAY%P00053"
"8","-1.0","-0.7361","0.0304","BIOCARTA_GPCR_
PATHWAY%MSIGDB_
C2%BIOCARTA_GPCR_
PATHWAY","0.923","MAP2K1|HRAS|RPS6KA3|CALM2|PRKAR1B|PPP3CA|PRKAR1A|GNAQ|PPP3CC|CREB1|PRKCB|RAF1|PRKCA|NFATC3|NFATC1|FOS|NFATC2|JUN|MAPK3","BIOCARTA_GPCR_PATHWAY","19","ENR","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY","-1.5527","0.0","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY",,,"false","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY"
"8","-0.999","-0.6695","0.0647","BIOCARTA_BCR_
PATHWAY%MSIGDB_
C2%BIOCARTA_BCR_
PATHWAY","1.0","MAPK8|GRB2|SOS1|HRAS|PPP3CA|PPP3CC|PRKCB|RAF1|PRKCA|NFATC3|NFATC1|SHC1|NFATC2|SYK|JUN|MAPK3|MAP2K1|CD79B|CD79A|CALM2|VAV1|LYN|BTK|FOS|MAPK14|MAP3K1|RAC1","BIOCARTA_BCR_PATHWAY","27","ENR","BIOCARTA_BCR_PATHWAY%MSIGDB_C2%BIOCARTA_BCR_PATHWAY","-1.4739","0.001","BIOCARTA_BCR_PATHWAY%MSIGDB_C2%BIOCARTA_BCR_PATHWAY",,,"false","BIOCARTA_BCR_PATHWAY%MSIGDB_C2%BIOCARTA_BCR_PATHWAY"
"8","-0.999","-0.656","0.0694","BIOCARTA_TCR_
PATHWAY%MSIGDB_
C2%BIOCARTA_TCR_
PATHWAY","1.0","MAPK8|GRB2|SOS1|HRAS|MAP2K4|PPP3CA|PPP3CC|NFKBIA|PRKCB|RAF1|PRKCA|PIK3CA|NFATC3|CD3G|NFATC1|LAT|CD3E|CD3D|SHC1|CD247|NFATC2|PIK3R1|JUN|FYN|ZAP70|MAPK3|MAP2K1|CALM2|VAV1|FOS|MAP3K1|RELA|LCK|RAC1|NFKB1","BIOCARTA_TCR_PATHWAY","35","ENR","BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY","-1.4613","0.001","BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY",,,"false","BIOCARTA_TCR_PATHWAY%MSIGDB_C2%BIOCARTA_TCR_PATHWAY"
"8","-0.9887","-0.6767","0.0846","CANCER 
IMMUNOTHERAPY BY 
PD-1 
BLOCKADE%WIKIPATHWAYS_20210210%WP4585%HOMO 
SAPIENS ","1.0","PTPN11|BATF|NFATC3|CD3G|NFATC1|CD3E|CD3D|NFATC2|CD8A|PDCD1|STAT3|NFAT5|PDCD1LG2|JUN|ZAP70|LCK|NFKB1","Cancer immunotherapy by PD-1 blockade","17","ENR","CANCER IMMUNOTHERAPY BY PD-1 BLOCKADE%WIKIPATHWAYS_20210210%WP4585%HOMO SAPIENS","-1.4317","0.0113","CANCER IMMUNOTHERAPY BY PD-1 BLOCKADE%WIKIPATHWAYS_20210210%WP4585%HOMO SAPIENS",,,"false","CANCER IMMUNOTHERAPY BY PD-1 BLOCKADE%WIKIPATHWAYS_20210210%WP4585%HOMO SAPIENS"
,"-0.997","-0.6846","0.0702","NUCLEAR 
SIGNALING BY 
ERBB4%REACTOME 
DATABASE ID 
RELEASE 
75%1251985 ","1.0","STMN1|NCSTN|PSEN2|SRC|ADAM17|APH1B|ADAP1|S100B|NCOR1|WWOX|MXD4|ESR1|TAB2|NRG1|SPARC|STAT5A|PSEN1|PSENEN|APH1A","Nuclear signaling by ERBB4","19","ENR","NUCLEAR SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1251985","-1.4582","0.003","NUCLEAR SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1251985",,,"false","NUCLEAR SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 75%1251985"
"28","-1.0","-0.664","0.0629","MEMBRANE PROTEIN 
PROTEOLYSIS%GOBP%GO:0033619 ","1.0","AFG3L2|APH1B|RHBDD1|MBTPS1|TRAF6|CLPP|MBTPS2|PARL|ADAM19|CTSH|RBMX|SPPL2A|PSEN1|PSENEN|APH1A|BACE1|SPPL3|NCSTN|TGFB1|PSEN2|MYH9|HM13|ADAM9|ADAM17|ADAM10|BACE2|DAG1|PRKCQ|ERAP1|RELA|NFKB1","membrane protein proteolysis","31","ENR","MEMBRANE PROTEIN PROTEOLYSIS%GOBP%GO:0033619","-1.4825","0.0","MEMBRANE PROTEIN PROTEOLYSIS%GOBP%GO:0033619",,,"false","MEMBRANE PROTEIN PROTEOLYSIS%GOBP%GO:0033619"
"28","-0.9795","-0.6738","0.0758","MEMBRANE PROTEIN 
INTRACELLULAR 
DOMAIN 
PROTEOLYSIS%GOBP%GO:0031293 ","1.0","NCSTN|TGFB1|PSEN2|HM13|ADAM9|ADAM17|ADAM10|APH1B|RHBDD1|MBTPS1|TRAF6|MBTPS2|SPPL2A|PSEN1|PSENEN|RELA|APH1A|NFKB1","membrane protein intracellular domain proteolysis","18","ENR","MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS%GOBP%GO:0031293","-1.4465","0.0205","MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS%GOBP%GO:0031293",,,"false","MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS%GOBP%GO:0031293"
"28","-0.9959","-0.7075","0.0505","MEMBRANE PROTEIN 
ECTODOMAIN 
PROTEOLYSIS%GOBP%GO:0006509 ","1.0","NCSTN|PSEN2|MYH9|HM13|ADAM9|ADAM17|ADAM10|DAG1|BACE2|PRKCQ|ERAP1|ADAM19|RBMX|SPPL2A|PSEN1|PSENEN|APH1A|BACE1|SPPL3","membrane protein ectodomain proteolysis","19","ENR","MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0006509","-1.5113","0.0041","MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0006509",,,"false","MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0006509"
"54","-0.9909","-0.6642","0.0829","FOXA1 
TRANSCRIPTION 
FACTOR 
NETWORK%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%FOXA1 
TRANSCRIPTION 
FACTOR NETWORK ","1.0","CDKN1B|CREBBP|BRCA1|CEBPB|SOD1|NFIC|ESR1|EP300|FOS|NRIP1|SERPINA1|AP1B1|PISD|SP1|JUN|NFIA|PRDM15|XBP1|COL18A1|POU2F1|NCOA3|NDUFV3","FOXA1 transcription factor network","22","ENR","FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK","-1.4333","0.0091","FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK",,,"false","FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK"
"54","-0.998","-0.7236","0.0377","PID_HNF3A_
PATHWAY%MSIGDB_
C2%PID_HNF3A_
PATHWAY","0.968","CDKN1B|CREBBP|BRCA1|CEBPB|EP300|FOS|SERPINA1|AP1B1|PISD|SP1|JUN|NFIA|PRDM15|ATP5J|XBP1|COL18A1|POU2F1|NDUFV3","PID_HNF3A_PATHWAY","18","ENR","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY","-1.5376","0.002","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY",,,"false","PID_HNF3A_PATHWAY%MSIGDB_C2%PID_HNF3A_PATHWAY"
"34","-1.0","-0.6407","0.0631","ACTIVATION OF 
ANTERIOR HOX 
GENES IN 
HINDBRAIN 
DEVELOPMENT 
DURING EARLY 
EMBRYOGENESIS%REACTOME%R-HSA-5617472.2 ","1.0","PCGF2|EED|CREBBP|NCOR1|EP300|RARB|JUN|KDM6A|POLR2G|SUZ12|RBBP7|RARG|RARA|POLR2A|WDR5|POLR2B|RXRA|POLR2C|POLR2D|POLR2E|YY1|POLR2F|KMT2D|KMT2C|POLR2H|HDAC3|CNOT6|POLR2I|CTCF|POLR2J|PAGR1|POLR2K|RBBP5|HOXA2|POLR2L|PBX1|PKNOX1|NCOA6|PIAS2|ASH2L|HOXB3|PAXIP1|RBBP4|MEIS1|MAFB|EZH2|ZNF335|NCOA3","Activation of anterior HOX genes in hindbrain development during early embryogenesis","48","ENR","ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2","-1.4809","0.0","ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2",,,"false","ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2"
"34","-0.999","-0.6407","0.0651","ACTIVATION OF HOX 
GENES DURING 
DIFFERENTIATION%REACTOME%R-HSA-5619507.3 ","1.0","PCGF2|EED|CREBBP|NCOR1|EP300|RARB|JUN|KDM6A|POLR2G|SUZ12|RBBP7|RARG|RARA|POLR2A|WDR5|POLR2B|RXRA|POLR2C|POLR2D|POLR2E|YY1|POLR2F|KMT2D|KMT2C|POLR2H|HDAC3|CNOT6|POLR2I|CTCF|POLR2J|PAGR1|POLR2K|RBBP5|HOXA2|POLR2L|PBX1|PKNOX1|NCOA6|PIAS2|ASH2L|HOXB3|PAXIP1|RBBP4|MEIS1|MAFB|EZH2|ZNF335|NCOA3","Activation of HOX genes during differentiation","48","ENR","ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME%R-HSA-5619507.3","-1.4709","0.001","ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME%R-HSA-5619507.3",,,"false","ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME%R-HSA-5619507.3"
