"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","BIOCARTA_ATRBRCA_
PATHWAY%MSIGDB_
C2%BIOCARTA_
ATRBRCA_PATHWAY",,"CHEK2|TREX1|BRCA1|FANCA|ATR|ATM|MRE11A|RAD50|FANCD2|RAD9A|RAD17|HUS1|FANCC|FANCE|FANCG|FANCF|NBN|BRCA2","BIOCARTA_ATRBRCA_PATHWAY","18","ENR","BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY","1.0","0.01","BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY","false","BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY"
"0.99",,"1.0","PRESENILIN 
ACTION IN NOTCH 
AND WNT 
SIGNALING%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%PRESENILIN 
ACTION IN NOTCH 
AND WNT SIGNALING ",,"AXIN1|CSNK2A1|MAP3K7|MYC|PPP2R5D|CREBBP|DTX1|DVL1|NLK|RBPJ|BTRC|NOTCH1|APH1B|NKD1|NEDD4|APC|TLE1|JUN|MAPK1|CTNNB1|PSEN1|PSENEN|APH1A|MAPK3|CSNK1A1|NCSTN|GSK3B|FRAT1|ADAM10|HDAC1|LRP6|FOS|FZD1|FBXW11|CTBP1|TAB1","Presenilin action in Notch and Wnt signaling","36","ENR","PRESENILIN ACTION IN NOTCH AND WNT SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PRESENILIN ACTION IN NOTCH AND WNT SIGNALING","1.0","0.01","PRESENILIN ACTION IN NOTCH AND WNT SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PRESENILIN ACTION IN NOTCH AND WNT SIGNALING","false","PRESENILIN ACTION IN NOTCH AND WNT SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PRESENILIN ACTION IN NOTCH AND WNT SIGNALING"
"0.99",,"1.0","TRIF-DEPENDENT 
TOLL-LIKE 
RECEPTOR 
SIGNALING 
PATHWAY%GOBP%GO:0035666 ",,"LY96|TLR4|UBB|UBC|IRF3|IKBKE|UBA52|IKBKB|IKBKG|UBE2D2|CD14|UBE2D3|CHUK|TLR6|UBE2D1|TRAF3|TICAM2|CASP8|CD300LF|FADD|TICAM1|BIRC2|RPS27A|BIRC3|IRF7|TBK1|TANK|RIPK1|CD40","TRIF-dependent toll-like receptor signaling pathway","29","ENR","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035666","1.0","0.01","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035666","false","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035666"
"0.99",,"1.0","TRANSFORMING 
GROWTH FACTOR 
BETA RECEPTOR 
SIGNALING 
PATHWAY%GOBP%GO:0007179 ",,"ACVR1|SRC|FKBP1A|ENG|ITGB5|SIRT1|USP15|USP9X|USP9Y|APPL2|SKI|ZFYVE9|ITGB1|SMAD4|TGFB3|EID2|RHOA|TGFBRAP1|GCNT2|PTPRK|ZYX|ARHGEF18|TWSG1|DUSP22|PARD3|PRKCZ|NRROS|LPXN|MAP3K7|UBB|PXN|UBC|NLK|LRRC32|SMAD7|FURIN|UBA52|SMAD3|ZMIZ1|SMAD5|ZMIZ2|JUN|F11R|APPL1|TGFB1|RPS27A|CBL|ADAM9|FNTA|PTK2|SMAD2|FOS|SMAD1|HPGD|TGFBR1|TGFBR3|TGFBR2|LTBP2|SMURF1|BMPR1A|ARRB2","transforming growth factor beta receptor signaling pathway","61","ENR","TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179","1.0","0.01","TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179","false","TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179"
"0.99",,"1.0","REGULATION OF 
POTASSIUM ION 
TRANSMEMBRANE 
TRANSPORTER 
ACTIVITY%GOBP%GO:1901016 ",,"SUMO1|CACNA1D|KCNAB1|YWHAE|KCNE1|KCNE3|KCNRG|AKAP9|NEDD4|ITGB1|NEDD4L|FHL1|AKAP6|STK39|ALG10B|ATP1B3|KCNG1|KCNS1|DLG1|CAB39|ATP1B1|WWP2|VAMP2|ANK2|NOS1AP|NETO1|KCNIP2|ANK3","regulation of potassium ion transmembrane transporter activity","28","ENR","REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016","1.0","0.01","REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016","false","REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016"
"0.99",,"1.0","LIPID 
STORAGE%GOBP%GO:0019915 ",,"ZFYVE1|PLIN5|IL1B|SOAT1|STARD4|PLIN3|PLIN2|FFAR2|DGAT2|PLA2G4C|SQLE|DGAT1|CD36|CDS2|AUP1|BSCL2|TNF|TMEM159","lipid storage","18","ENR","LIPID STORAGE%GOBP%GO:0019915","1.0","0.01","LIPID STORAGE%GOBP%GO:0019915","false","LIPID STORAGE%GOBP%GO:0019915"
"0.99",,"1.0","TNF 
SIGNALING%REACTOME%R-HSA-75893.5 ",,"SMPD2|MAP3K7|UBB|UBC|UBA52|TAB2|NSMAF|SMPD3|IKBKB|USP4|IKBKG|TAX1BP1|CHUK|TNFRSF1A|OTUD7B|TNFAIP3|CASP8|SPPL2A|TRADD|FADD|BIRC2|TNF|TRAF1|RPS27A|ADAM17|BIRC3|BAG4|SHARPIN|RNF31|USP21|TAB3|CYLD|RBCK1|TAB1|XIAP|RIPK1|TRAF2","TNF signaling","37","ENR","TNF SIGNALING%REACTOME%R-HSA-75893.5","1.0","0.01","TNF SIGNALING%REACTOME%R-HSA-75893.5","false","TNF SIGNALING%REACTOME%R-HSA-75893.5"
"0.99",,"1.0","PROTEIN 
ALKYLATION%GOBP%GO:0008213 ",,"PRMT2|TET3|WDR82|WDR5B|CXXC1|ICMT|NDUFAF7|SETMAR|WDR61|TET2|SNRPB|SNRPD3|METTL18|METTL22|PCMT1|SMYD2|FAM98B|SMYD3|WDR5|PRMT6|ETF1|TRMT112|KMT2D|GSPT1|FAM98A|KMT2A|PRMT5|DPY30|PRMT7|N6AMT1|PRMT3|PAGR1|RBBP5|EHMT2|SETD1B|EHMT1|SETD1A|ASH2L|PAXIP1|CTR9|ZNF335|METTL21A|FBL|SETDB1|SETDB2|CREBBP|SUV39H2|SETD3|RAB6A|SETD6|SETD7|LCMT1|ASH1L|KDM6A|PRDM4|SETD2|NTMT1|CAMKMT|PRMT1|SETD5|VCPKMT|METTL21EP|KMT2C|SETD4|CARM1|PRDM5|NSD1|SIRT7|SUV39H1|DOT1L|EZH2","protein alkylation","71","ENR","PROTEIN ALKYLATION%GOBP%GO:0008213","1.0","0.01","PROTEIN ALKYLATION%GOBP%GO:0008213","false","PROTEIN ALKYLATION%GOBP%GO:0008213"
"0.99",,"1.0","HEDGEHOG LIGAND 
BIOGENESIS%REACTOME%R-HSA-5358346.1 ",,"GPC5|PSME2|PSMA4|PSMA1|DERL2|PSMA2|PSME3|ERLEC1|PSME4|OS9|PSME1|P4HB|PSMD10|PSMD12|PSMD11|PSMD14|PSMD13|PSMA7|PSMB10|UBB|PSMB6|UBC|PSMB7|PSMB4|PSMB5|PSMB2|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|PSMC6|PSMC3|PSMC4|PSMC1|PSMC2|SYVN1|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|VCP|RPS27A|PSMA5|PSMA6|PSMA3|SEL1L|ADAM17|HHAT|DISP2","Hedgehog ligand biogenesis","57","ENR","HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1","1.0","0.01","HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1","false","HEDGEHOG LIGAND BIOGENESIS%REACTOME%R-HSA-5358346.1"
"0.99",,"1.0","REGULATION OF 
PROTEIN 
ACTIVATION 
CASCADE%GOBP%GO:2000257 ",,"IGHG1|PHB|CLU|C1QBP|C3AR1|CFP|CR1|C4A|VSIG4|CD81|C5|CR1L|A2M|C4B_2|C2|C4BPA|CD46|CD55|PHB2|SERPING1|SUSD4|F8|IL1B|C5AR2|CR2|CD59|CD19|CFH|TFPI|C5AR1|PROS1","regulation of protein activation cascade","31","ENR","REGULATION OF PROTEIN ACTIVATION CASCADE%GOBP%GO:2000257","1.0","0.01","REGULATION OF PROTEIN ACTIVATION CASCADE%GOBP%GO:2000257","false","REGULATION OF PROTEIN ACTIVATION CASCADE%GOBP%GO:2000257"
"0.99",,"1.0","PID_HES_HEY_
PATHWAY%MSIGDB_
C2%PID_HES_HEY_
PATHWAY",,"CDKN1B|CREBBP|MAML2|MYB|MAML1|RBPJ|NOTCH1|NCOR1|EP300|STAT3|PARP1|CAMK2D|HDAC1|KDM1A|GATA1|RUNX2|NCOR2|NCOA1|SPEN|GAA|RCAN1|RBBP8|HIF1A|YY1|TCF3|CTBP1|RB1","PID_HES_HEY_PATHWAY","27","ENR","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY","1.0","0.01","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY","false","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY"
"0.99",,"1.0","GLYCOSYLATION%G
OBP%GO:0070085
",,"MGAT5|B3GALNT2|FKTN|DPM1|UBE2J1|DPM2|POMT2|POMGNT2|FKRP|SDF2L1|DERL3|FUT7|PLOD3|PLOD1|POFUT2|POMK|SLC35C1|POMT1|TMTC3|TMTC2|TMTC1|TMTC4|PGM3|GBA|ALG10B|CLN5|TET1|RPN2|RPN1|DDOST|ENTPD5|MGAT1|MOGS|B4GALT7|DAD1|STT3A|ST3GAL6|B4GALT1|GFPT1|POGLUT1|POFUT1|ST3GAL4|ST3GAL3|SLC39A8|ST6GAL1|ST3GAL1|MAGT1|MPDU1|FUT4|GBA2|TET3|TET2|ALG8|ALG9|GOLGA2|ALG6|ALG5|ALG2|ALG3|B4GALT4|ALG1|MGAT3|DOLPP1|DPY19L1|B4GALT3|MGAT2|DPY19L3|MGAT4C|DPY19L4|COG7|COG3|DPAGT1|MPI|FUT10|XXYLT1|GXYLT1|DHDDS|AQP11|NUS1|POMGNT1|TMEM258|GCNT2|KRTCAP2|OST4|DOLK|OSTC|PMM1|PMM2|ALG14|TMEM165|ALG13|ALG12|ALG11|ALG10|STT3B|UGGT2|UGGT1|NUDT14|ASGR1|ASGR2|SRD5A3|MCFD2|B3GALT2|LMAN1|B3GALT4|NPC1|ST3GAL5|TRAK1|GBGT1|B3GNT5|GCNT1|GALNT12|GCNT4|GALNT11|GALNT14|C1GALT1C1|GALNT18|A3GALT2|GALNT10|COG6|SERP1|MVD|B4GALT6|B4GALT5|C1GALT1|MUC5B|MUC20|GALNT7|GALNT6|ST6GALNAC2|B3GNT2|ST6GALNAC1|ST6GALNAC4|FUT11|ST3GAL2|B3GNT9|FUOM|B3GNT8|NANS|GALNTL6|ST8SIA1|GALNT4|GALNT3|GALNT2|MGAT4A|GALNT1|MGAT4B|MAN1C1|ST8SIA4|FUT8|ST8SIA6|PIGB|EOGT","glycosylation","153","ENR","GLYCOSYLATION%GOBP%GO:0070085","1.0","0.01","GLYCOSYLATION%GOBP%GO:0070085","false","GLYCOSYLATION%GOBP%GO:0070085"
"0.99",,"1.0","IFN-ALPHA%IOB%I
FN-ALPHA
",,"STAT2|MAP2K4|FOXO1|IFNAR1|NFKBIA|STAT4|CRK|STAT1|IRS1|IFNAR2|STAT3|TYK2|JAK1|ZAP70|STAT5B|CRKL|RPS6KB1|CBL|STAT6|ARHGAP30|VAV1|TNFRSF10D|PRKCQ|RPS6|RPS6KA5|MTOR|MAP2K3|MAPK14|EIF4EBP1|EIF4B|MAP2K6","IFN-alpha","31","ENR","IFN-ALPHA%IOB%IFN-ALPHA","1.0","0.01","IFN-ALPHA%IOB%IFN-ALPHA","false","IFN-ALPHA%IOB%IFN-ALPHA"
"0.99",,"1.0","REGULATION OF 
TRANSCRIPTION 
FROM RNA 
POLYMERASE II 
PROMOTER IN 
RESPONSE TO 
HYPOXIA%GOBP%GO:0061418 ",,"LIMD1|EPAS1|SIRT2|CITED2|ARNT|PSME2|HIF1A|PSMA4|PSMA1|PSMA2|PSME3|PSME4|STOX1|PSME1|PSMD10|BACH1|PSMD12|PSMD11|PSMD14|PSMD13|PSMA7|PSMB10|CREBBP|UBB|PSMB6|UBC|HIGD1A|PSMB7|PSMB4|RBPJ|PSMB5|PSMB2|NOTCH1|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|EP300|PSMB9|PSMC5|PSMC6|PSMC3|VEGFA|PSMC4|PSMC1|PSMC2|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|HIF1AN|PSMD3|PSMD1|PSMA5|RPS27A|PSMA6|PSMA3|RBX1|CUL2|NFE2L2|VHL|EGLN1|EGLN2","regulation of transcription from RNA polymerase II promoter in response to hypoxia","67","ENR","REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA%GOBP%GO:0061418","1.0","0.01","REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA%GOBP%GO:0061418","false","REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA%GOBP%GO:0061418"
"0.99",,"1.0","IL9%NETPATH%IL9

",,"GRB2|MAP2K1|STAT6|PTPN11|STAT1|MAP2K2|SHC1|IRS1|STAT3|PIK3R1|TYK2|IL2RG|MAPK1|JAK1|JAK3|MAPK3|STAT5B","IL9","17","ENR","IL9%NETPATH%IL9","1.0","0.01","IL9%NETPATH%IL9","false","IL9%NETPATH%IL9"
"0.99",,"1.0","SIGNALING 
DOWNSTREAM OF RAS 
MUTANTS%REACTOME 
DATABASE ID 
RELEASE 
75%9649948 ",,"ARAF|PHB|SRC|HRAS|PEBP1|RAP1B|VWF|FN1|APBB1IP|YWHAB|CNKSR2|BRAF|ITGB3|RAF1|TLN1|MAP2K2|BRAP|KSR1|MAPK1|MAPK3|VCL|MAP2K1|KRAS|CAMK2D|IQGAP1|MAP3K11|CSK|CALM1|CAMK2G|MARK3|ITGA2B|JAK2|ARRB1|ARRB2|RAP1A|NRAS","Signaling downstream of RAS mutants","36","ENR","SIGNALING DOWNSTREAM OF RAS MUTANTS%REACTOME DATABASE ID RELEASE 75%9649948","1.0","0.01","SIGNALING DOWNSTREAM OF RAS MUTANTS%REACTOME DATABASE ID RELEASE 75%9649948","false","SIGNALING DOWNSTREAM OF RAS MUTANTS%REACTOME DATABASE ID RELEASE 75%9649948"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
EPITHELIAL TO 
MESENCHYMAL 
TRANSITION%GOBP%GO:0010719 ",,"FUZ|SPRED1|ZNF750|SPRED2|VASN|PBLD|SMAD7|LDLRAD4|PTEN|GATA3|MAD2L2|SFRP2|SDHAF2|NOG|STRAP|ADIPOR1|PPP2CA","negative regulation of epithelial to mesenchymal transition","17","ENR","NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010719","1.0","0.01","NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010719","false","NEGATIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010719"
"0.99",,"1.0","REGULATION OF 
MRNA 
PROCESSING%GOBP%GO:0050684 ",,"LARP7|CWC22|CPSF6|SON|SF1|WTAP|SRSF3|HNRNPL|SRSF4|RBFOX2|SRSF7|RBFOX3|CELF1|SFSWAP|SRSF12|FAM172A|SRSF10|KHDRBS2|RBM15B|U2AF2|MBNL2|RBM39|MBNL3|NSRP1|SMU1|HNRNPU|RBM7|RBM5|PCBP4|CELF6|SAFB|RBM11|RBM25|HNRNPA1|HNRNPK|CPSF4|SAP18|LEO1|ZC3H14|C9ORF78|NELFE|ZC3H3|RNF40|PABPN1|CTR9|RNF20|FXR1|FMR1|DDX5|PAF1|CDC73|C1QBP|PAPOLA|NUP98|CPSF7|JMJD6|DHX9|SLTM|MBNL1|NUDT21|PRDX6|SF3B4|HSF1|RBMXL1|TRA2B|RBM15|TRA2A|CIRBP|DAZAP1|ZC3H10|NCL|SAFB2|RBM3|ZBTB7A|YTHDC1|CELF2|THRAP3|AHCYL1|PTCD2|ZFP36L1|SRPK2|RBFOX1|DDX17|DHX36|METTL16|PUF60|SRSF6|CPEB3|SRSF9|BARD1|FXR2|KHDRBS1|QKI|SNW1|SUPT5H|CDK9|IWS1|RBMX|RBM4|CCNT1|TIA1|CDK11B|MAGOH|NCBP1|NCBP2|RBM8A|PTBP1|SUPT6H|RNPS1|CDK11A|REST|SRPK1|RBM23","regulation of mRNA processing","113","ENR","REGULATION OF MRNA PROCESSING%GOBP%GO:0050684","1.0","0.01","REGULATION OF MRNA PROCESSING%GOBP%GO:0050684","false","REGULATION OF MRNA PROCESSING%GOBP%GO:0050684"
"0.99",,"1.0","RESPONSE TO ZINC 
ION%GOBP%GO:0010043 ",,"GLRA1|SLC30A5|SLC30A4|GLRA2|CRIP1|PAM|D2HGDH|ZACN|SLC30A1|ATP13A2|HVCN1|P2RX4|ZNF658|MT2A|HAAO","response to zinc ion","15","ENR","RESPONSE TO ZINC ION%GOBP%GO:0010043","1.0","0.01","RESPONSE TO ZINC ION%GOBP%GO:0010043","false","RESPONSE TO ZINC ION%GOBP%GO:0010043"
"0.99",,"1.0","TRANS-SYNAPTIC 
SIGNALING%GOBP%GO:0099537 ",,"GRIK4|GRM3|KCNMB1|CACNB1|AKAP5|CACNB2|PTEN|AKAP9|COLQ|ERC1|MAPK1|HTR7|SNAP29|GSK3B|AKT1|GSK3A|SLC18A2|CACNB4|DLG1|STAC3|DLG2|RPS6KA3|RPS6KA2|SYN1|RPS6KA1|NTSR1|CALM1|PRKACA|HSPA8|HRH2|STX3|ZACN|CAMK4|RIMBP3C|SYPL1|SYNJ2BP|LRRK2|CHRNG|DTNA|ASIC2|CDK5|MINK1|NLGN3|SPG11|GABARAP|GRIA3|SLC12A4|STXBP1|CNP|RAB3GAP1|SLC12A6|SLC12A7|NRXN1|RIMBP3B|PIP5K1C|CHRNA10|CHRNB1|STX4|CAMKK2|RIC3|DAGLA|DAGLB|PDE7B|BLOC1S6|CHRNB2|APBA1|GABRB1|CHRM3|DOC2A|STXBP3|CHRM5|HRH4|VAMP2|SNAP23|HRH1|MPZ|KIF1B|SNCA|CHRNE|MEF2C|AMPH|PRKAR1B|APBA3|FCHSD2|APBA2|PRKAR1A|CACNA1A|SNPH|SYN3|DNAJC5|EXOC4|FCHSD1|NAAA|SYNJ1|STX19|STX11|CAMK1|CACNA1E|PAFAH1B1|GABRR2|PDZD11|DLG4|GRIK1|DLGAP1|SDCBP|GRM7|PRKAR2A|STXBP2|PRKAR2B|CAMKK1|UNC119|NRGN|MBP|GLRA1|DVL1|HOMER1|ATXN3|GIPC1|STX2|HTR2B|KCNMB4|CPLX2|NAPA|SNAP47|NAPB|SYT1|SNAPIN|RIMS3|UNC13B|SLC1A1|SLC1A3|SLC1A4|LIN7A|LIN7C|GRID1|GLRA2|NLGN4Y|PNOC|PRKACB|LRP6|GRID2|PTPRN2|KCNC4|KCNQ3|SYT2|PTPRD|KCNIP2|ARRB2","trans-synaptic signaling","148","ENR","TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099537","1.0","0.01","TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099537","false","TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099537"
"0.99",,"1.0","COLLAGEN 
CATABOLIC 
PROCESS%GOBP%GO:0030574 ",,"CTSD|MMP8|CTSB|MMP24|FURIN|COL19A1|PHYKPL|CTSK|MMP25|MMP28|MMP17|CTSL|COL13A1|MMP9|MRC2|CTSS","collagen catabolic process","16","ENR","COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574","1.0","0.01","COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574","false","COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574"
"0.99",,"1.0","HIF-1-ALPHA 
TRANSCRIPTION 
FACTOR 
NETWORK%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%HIF-1-ALPHA 
TRANSCRIPTION 
FACTOR NETWORK ",,"ENG|CXCR4|ENO1|ITGB2|HMOX1|CITED2|ARNT|SMAD4|ABCG2|FECH|CP|AKT1|ETS1|NPM1|LDHA|CREB1|HIF1A|NCOA2|ALDOA|RORA|HK2|PFKFB3|TFRC|CREBBP|PGM1|FURIN|HK1|MCL1|ID2|BHLHE40|BNIP3|EP300|PKM|SMAD3|VEGFA|GATA2|NDRG1|JUN|HDAC7|SLC2A1|PLIN2|NCOA1|NT5E|FOS|PFKL|SP1|EGLN1|COPS5|PGK1|ADM|ABCB1","HIF-1-alpha transcription factor network","51","ENR","HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK","1.0","0.01","HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK","false","HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK"
"0.99",,"1.0","DETECTION OF 
STIMULUS 
INVOLVED IN 
SENSORY 
PERCEPTION%GOBP%GO:0050906 ",,"EPHB1|EYS|MMP24|GNAT2|TMEM120A|CNGB1|RTP4|KIT|MKKS|CEP250|TAS2R20|TAS2R19|TAS2R30|TAS2R31|CA6|CACNA2D4","detection of stimulus involved in sensory perception","16","ENR","DETECTION OF STIMULUS INVOLVED IN SENSORY PERCEPTION%GOBP%GO:0050906","1.0","0.01","DETECTION OF STIMULUS INVOLVED IN SENSORY PERCEPTION%GOBP%GO:0050906","false","DETECTION OF STIMULUS INVOLVED IN SENSORY PERCEPTION%GOBP%GO:0050906"
"0.99",,"1.0","RNA POLYMERASE I 
PROMOTER 
CLEARANCE%REACTOME 
DATABASE ID 
RELEASE 75%73854 ",,"GATAD2B|GATAD2A|KAT2A|RRN3|TAF1D|CHD4|TAF1C|TAF1A|UBTF|TAF1B|POLR1B|POLR1E|KAT2B|CCNH|MNAT1|MAPK3|POLR1A|POLR1C|TBP|POLR1D|CHD3|ERCC6|ERCC3|ERCC2|HDAC2|MTA1|RBBP7|HDAC1|MTA2|MTA3|POLR2E|POLR2F|POLR2H|CDK7|GTF2H1|GTF2H2|POLR2K|GTF2H3|EHMT2|POLR2L|GTF2H4|GTF2H5|CBX3|MBD3|MBD2|RBBP4|TTF1","RNA Polymerase I Promoter Clearance","47","ENR","RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME DATABASE ID RELEASE 75%73854","1.0","0.01","RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME DATABASE ID RELEASE 75%73854","false","RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME DATABASE ID RELEASE 75%73854"
"0.99",,"1.0","REGULATION OF 
INTERLEUKIN-17 
PRODUCTION%GOBP%GO:0032660 ",,"TGFB1|DDIT3|PRNP|PHB|RFTN1|TLR4|FOXP3|NCKAP1L|PRKCQ|LY9|SLAMF6|ZBTB7B|TNFSF4|SLC7A5|NOD2|IL18|IL23R|MYD88|IL15|OSM","regulation of interleukin-17 production","20","ENR","REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660","1.0","0.01","REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660","false","REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
EPITHELIAL CELL 
APOPTOTIC 
PROCESS%GOBP%GO:1904036 ",,"TCF7L2|TEK|MAPK7|SEMA5A|PAK4|GATA3|NFE2L2|GAS6|PPARA|ANGPT1|TNIP2|GATA2|PDPK1|TNFAIP3|KRIT1|ICAM1|CAST","negative regulation of epithelial cell apoptotic process","17","ENR","NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904036","1.0","0.01","NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904036","false","NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904036"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
WOUND 
HEALING%GOBP%GO:0090303 ",,"KANK1|ARFGEF1|OCLN|HRAS|TLR4|PLEK|ST3GAL4|PRKCE|ITGB1|F11R|THBD|XBP1|CLEC7A|ANO6|USF1|DMTN|PLA2G4A|PTK2|DUOX1|HPSE|RREB1|MYLK|MTOR|THBS1|CAPN3|ACTG1|ENPP4|ANXA1|F2R|SELP","positive regulation of wound healing","30","ENR","POSITIVE REGULATION OF WOUND HEALING%GOBP%GO:0090303","1.0","0.01","POSITIVE REGULATION OF WOUND HEALING%GOBP%GO:0090303","false","POSITIVE REGULATION OF WOUND HEALING%GOBP%GO:0090303"
"0.99",,"1.0","REGULATION OF 
DOUBLE-STRAND 
BREAK 
REPAIR%GOBP%GO:2000779 ",,"PML|SETMAR|HMGA2|TP53BP1|DEK|WDR48|SPIRE2|SPIRE1|UBQLN4|PARP1|MGMT|KDM1A|ARID2|ACTR2|MAD2L2|WAS|DTX3L|FOXM1|PARP3|TRIP12|OTUB1|OTUB2|RNF169|OGG1|PPP4R2|NUDT16L1|WDR70|UBR5|RTEL1|TFIP11|AUNIP|PNKP|PARP9|WRAP53|SIRT6|FANCB|FUS|MMS19|POLQ|FIGNL1|SPIDR|POT1|SETD2|HELB|PARPBP|MAGEF1|KLHL15|ERCC6|TERF2IP|TIMELESS|PPP4C|ZCWPW1|NUDT16|ZNF365|DDX11|HSF1|SIRT7|RPA2|PRKDC|RIF1|SMCHD1","regulation of double-strand break repair","61","ENR","REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779","1.0","0.01","REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779","false","REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000779"
