NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
POSITIVE REGULATION OF PROTEIN BINDING%GOBP%GO:0032092	POSITIVE REGULATION OF PROTEIN BINDING%GOBP%GO:0032092		49	-0.57568336	-1.3205837	0.007	0.16445118	1	3515	"tags=53%, list=28%, signal=73%"
HEDGEHOG SIGNALING PATHWAY%PANTHER PATHWAY%P00025	HEDGEHOG SIGNALING PATHWAY%PANTHER PATHWAY%P00025		18	-0.61845994	-1.3205265	0.056338027	0.16434436	1	1049	"tags=33%, list=8%, signal=36%"
VENTRICULAR CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055010	VENTRICULAR CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055010		18	-0.62167954	-1.3203919	0.06408952	0.16444059	1	1913	"tags=33%, list=15%, signal=39%"
REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO SAPIENS	REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP4538%HOMO SAPIENS		51	-0.5740229	-1.3203019	0.008016032	0.16441287	1	2941	"tags=45%, list=23%, signal=58%"
REGULATION OF AMYLOID-BETA FORMATION%GOBP%GO:1902003	REGULATION OF AMYLOID-BETA FORMATION%GOBP%GO:1902003		26	-0.60243887	-1.3202437	0.032355916	0.16432391	1	2673	"tags=42%, list=21%, signal=53%"
STAT CASCADE%GOBP%GO:0097696	STAT CASCADE%GOBP%GO:0097696		26	-0.6010618	-1.3200064	0.04137235	0.164588	1	3919	"tags=62%, list=31%, signal=89%"
ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%NETPATH%ALPHA6BETA4INTEGRIN		41	-0.5822878	-1.3198011	0.014056225	0.16484147	1	2882	"tags=39%, list=23%, signal=50%"
CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER%REACTOME%R-HSA-2219530.1	CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER%REACTOME%R-HSA-2219530.1		38	-0.58136636	-1.3197095	0.018072288	0.16483067	1	3886	"tags=58%, list=31%, signal=83%"
TGF-BETA RECEPTOR SIGNALLING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20210210%WP4816%HOMO SAPIENS	TGF-BETA RECEPTOR SIGNALLING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20210210%WP4816%HOMO SAPIENS		33	-0.5896839	-1.3196834	0.026104419	0.16468824	1	3244	"tags=48%, list=26%, signal=65%"
SENSORY ORGAN DEVELOPMENT%GOBP%GO:0007423	SENSORY ORGAN DEVELOPMENT%GOBP%GO:0007423		103	-0.5551932	-1.3196701	0	0.16450652	1	2993	"tags=40%, list=24%, signal=52%"
SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE%REACTOME%R-HSA-1660499.6	SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE%REACTOME%R-HSA-1660499.6		49	-0.5774863	-1.319525	0.01001001	0.16461517	1	3773	"tags=63%, list=30%, signal=90%"
REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0002028	REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0002028		39	-0.58562	-1.3192252	0.018072288	0.16506244	1	2216	"tags=41%, list=17%, signal=50%"
ENDOTHELIAL CELL DEVELOPMENT%GOBP%GO:0001885	ENDOTHELIAL CELL DEVELOPMENT%GOBP%GO:0001885		25	-0.6026773	-1.3191448	0.03521127	0.16504161	1	2422	"tags=40%, list=19%, signal=49%"
REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106056	REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106056		17	-0.62374157	-1.3189747	0.06808943	0.16520838	1	1970	"tags=29%, list=15%, signal=35%"
RAS PATHWAY%PANTHER PATHWAY%P04393	RAS PATHWAY%PANTHER PATHWAY%P04393		66	-0.5641836	-1.3188149	0.004	0.16536485	1	3142	"tags=45%, list=25%, signal=60%"
NEGATIVE REGULATION OF ERBB SIGNALING PATHWAY%GOBP%GO:1901185	NEGATIVE REGULATION OF ERBB SIGNALING PATHWAY%GOBP%GO:1901185		33	-0.5918458	-1.3187677	0.028225806	0.16525748	1	3704	"tags=52%, list=29%, signal=72%"
FRAGILE X SYNDROME %WIKIPATHWAYS_20210210%WP4549%HOMO SAPIENS	FRAGILE X SYNDROME %WIKIPATHWAYS_20210210%WP4549%HOMO SAPIENS		75	-0.5658388	-1.3187157	0.004	0.16517626	1	2709	"tags=43%, list=21%, signal=54%"
"FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 75%9615017"	"FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 75%9615017"		17	-0.62043005	-1.3186276	0.053971488	0.16516268	1	3414	"tags=59%, list=27%, signal=80%"
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 75%2426168	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 75%2426168		38	-0.5881	-1.3185129	0.016032064	0.16519086	1	2546	"tags=42%, list=20%, signal=52%"
IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739	IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739		56	-0.5692685	-1.3185064	0.01	0.16499977	1	3588	"tags=45%, list=28%, signal=62%"
ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES	ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES		49	-0.57427305	-1.3181448	0.009009009	0.16551985	1	3324	"tags=49%, list=26%, signal=66%"
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777		127	-0.5529949	-1.3180326	0	0.16553651	1	3332	"tags=45%, list=26%, signal=60%"
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851		159	-0.5469556	-1.3179947	0	0.1654165	1	3183	"tags=40%, list=25%, signal=52%"
MELANOMA%WIKIPATHWAYS_20210210%WP4685%HOMO SAPIENS	MELANOMA%WIKIPATHWAYS_20210210%WP4685%HOMO SAPIENS		44	-0.57793105	-1.317719	0.024048096	0.16579773	1	3104	"tags=41%, list=24%, signal=54%"
CCR1%IOB%CCR1	CCR1%IOB%CCR1		19	-0.6181926	-1.3175358	0.058163267	0.16601473	1	2941	"tags=47%, list=23%, signal=62%"
CARTILAGE DEVELOPMENT%GOBP%GO:0051216	CARTILAGE DEVELOPMENT%GOBP%GO:0051216		31	-0.5918432	-1.3171785	0.03729839	0.16658494	1	1953	"tags=29%, list=15%, signal=34%"
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:0008630	INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:0008630		44	-0.5775151	-1.3171117	0.013026052	0.1665298	1	1942	"tags=25%, list=15%, signal=29%"
MYOBLAST DIFFERENTIATION%GOBP%GO:0045445	MYOBLAST DIFFERENTIATION%GOBP%GO:0045445		15	-0.6415868	-1.3170041	0.06900103	0.1665839	1	3079	"tags=60%, list=24%, signal=79%"
POSITIVE REGULATION OF ATP BIOSYNTHETIC PROCESS%GOBP%GO:2001171	POSITIVE REGULATION OF ATP BIOSYNTHETIC PROCESS%GOBP%GO:2001171		20	-0.61555856	-1.3169847	0.045918368	0.16641985	1	2385	"tags=50%, list=19%, signal=61%"
REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051893	REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051893		40	-0.5760241	-1.3167735	0.025075225	0.16669182	1	1432	"tags=33%, list=11%, signal=37%"
JAK-STAT CASCADE%GOBP%GO:0007259	JAK-STAT CASCADE%GOBP%GO:0007259		26	-0.6010618	-1.3167051	0.034274194	0.166626	1	3919	"tags=62%, list=31%, signal=89%"
HISTONE H3 DEACETYLATION%GOBP%GO:0070932	HISTONE H3 DEACETYLATION%GOBP%GO:0070932		15	-0.6371241	-1.3166529	0.05699482	0.16652887	1	894	"tags=27%, list=7%, signal=29%"
AXON DEVELOPMENT%GOBP%GO:0061564	AXON DEVELOPMENT%GOBP%GO:0061564		175	-0.5472195	-1.3164726	0	0.16673803	1	3115	"tags=39%, list=24%, signal=51%"
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM%GOBP%GO:0010880	REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM%GOBP%GO:0010880		17	-0.62218404	-1.3161204	0.057435896	0.16727175	1	1207	"tags=24%, list=9%, signal=26%"
REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043244	REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043244		71	-0.5635483	-1.3159324	0.004	0.1674855	1	2127	"tags=31%, list=17%, signal=37%"
CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010	CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010		53	-0.5734737	-1.3158659	0.012012012	0.16739258	1	3239	"tags=45%, list=25%, signal=61%"
IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4	IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4		24	-0.60157627	-1.3155303	0.04637097	0.16792946	1	3101	"tags=50%, list=24%, signal=66%"
NEGATIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061099	NEGATIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061099		15	-0.6331112	-1.3155102	0.06010363	0.16775958	1	2772	"tags=40%, list=22%, signal=51%"
ARF6 DOWNSTREAM PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF6 DOWNSTREAM PATHWAY	ARF6 DOWNSTREAM PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF6 DOWNSTREAM PATHWAY		15	-0.6382554	-1.3152361	0.06769231	0.16815598	1	2832	"tags=33%, list=22%, signal=43%"
PID_ECADHERIN_STABILIZATION_PATHWAY%MSIGDB_C2%PID_ECADHERIN_STABILIZATION_PATHWAY	PID_ECADHERIN_STABILIZATION_PATHWAY%MSIGDB_C2%PID_ECADHERIN_STABILIZATION_PATHWAY		23	-0.6069066	-1.3151233	0.03423968	0.1682085	1	2184	"tags=43%, list=17%, signal=52%"
REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042058	REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042058		57	-0.5726309	-1.3150328	0.014014014	0.16819279	1	2178	"tags=37%, list=17%, signal=44%"
MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4205%HOMO SAPIENS	MET IN TYPE 1 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4205%HOMO SAPIENS		41	-0.5774833	-1.3150208	0.017	0.16801511	1	3434	"tags=49%, list=27%, signal=67%"
VIRAL ACUTE MYOCARDITIS%WIKIPATHWAYS_20210210%WP4298%HOMO SAPIENS	VIRAL ACUTE MYOCARDITIS%WIKIPATHWAYS_20210210%WP4298%HOMO SAPIENS		48	-0.57790744	-1.3148786	0.011	0.16815206	1	2178	"tags=35%, list=17%, signal=43%"
PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY	PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY		26	-0.5991106	-1.3148259	0.035246726	0.16804971	1	3324	"tags=58%, list=26%, signal=78%"
REGULATION OF ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0110020	REGULATION OF ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0110020		55	-0.5738058	-1.3147446	0.012012012	0.16802368	1	2916	"tags=40%, list=23%, signal=52%"
MECHANOREGULATION AND PATHOLOGY OF YAP/TAZ VIA HIPPO AND NON-HIPPO MECHANISMS%WIKIPATHWAYS_20210210%WP4534%HOMO SAPIENS	MECHANOREGULATION AND PATHOLOGY OF YAP/TAZ VIA HIPPO AND NON-HIPPO MECHANISMS%WIKIPATHWAYS_20210210%WP4534%HOMO SAPIENS		24	-0.6017523	-1.3144567	0.042381432	0.16843422	1	3769	"tags=58%, list=30%, signal=83%"
POSITIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903846	POSITIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903846		21	-0.6092912	-1.314426	0.053807106	0.16829163	1	1856	"tags=33%, list=15%, signal=39%"
REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070167	REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070167		38	-0.5833157	-1.3139807	0.02002002	0.16907836	1	2989	"tags=55%, list=24%, signal=72%"
MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692	MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692		63	-0.56501555	-1.3139657	0.008	0.16890344	1	2843	"tags=37%, list=22%, signal=47%"
REGULATION OF GTPASE ACTIVITY%GOBP%GO:0043087	REGULATION OF GTPASE ACTIVITY%GOBP%GO:0043087		191	-0.54383874	-1.3138326	0	0.16900748	1	2954	"tags=40%, list=23%, signal=51%"
NOTCH SIGNALING PATHWAY%GOBP%GO:0007219	NOTCH SIGNALING PATHWAY%GOBP%GO:0007219		38	-0.58487153	-1.3138236	0.022022022	0.16882841	1	1286	"tags=32%, list=10%, signal=35%"
MITOTIC G1/S TRANSITION CHECKPOINT%GOBP%GO:0044819	MITOTIC G1/S TRANSITION CHECKPOINT%GOBP%GO:0044819		47	-0.5734309	-1.3137797	0.012024048	0.16872507	1	3364	"tags=43%, list=26%, signal=58%"
NEGATIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043537	NEGATIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043537		21	-0.60595936	-1.3137157	0.05102041	0.16868421	1	568	"tags=19%, list=4%, signal=20%"
CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT	CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT		33	-0.5866638	-1.3136289	0.03009027	0.16868825	1	2239	"tags=36%, list=18%, signal=44%"
SPHINGOLIPID METABOLISM (INTEGRATED PATHWAY)%WIKIPATHWAYS_20210210%WP4726%HOMO SAPIENS	SPHINGOLIPID METABOLISM (INTEGRATED PATHWAY)%WIKIPATHWAYS_20210210%WP4726%HOMO SAPIENS		16	-0.6202038	-1.3136283	0.07069672	0.16848575	1	2827	"tags=50%, list=22%, signal=64%"
STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146	STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051146		50	-0.57602245	-1.3131832	0.014014014	0.16924101	1	2843	"tags=36%, list=22%, signal=46%"
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY%MSIGDB_C2%PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY%MSIGDB_C2%PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY		28	-0.5960091	-1.3131791	0.03430878	0.16904536	1	2882	"tags=46%, list=23%, signal=60%"
WNT%IOB%WNT	WNT%IOB%WNT		57	-0.5714981	-1.3131397	0.01	0.16892031	1	3887	"tags=54%, list=31%, signal=78%"
HEPATITIS B INFECTION%WIKIPATHWAYS_20210210%WP4666%HOMO SAPIENS	HEPATITIS B INFECTION%WIKIPATHWAYS_20210210%WP4666%HOMO SAPIENS		101	-0.5536817	-1.3130813	0.002	0.16883643	1	3151	"tags=43%, list=25%, signal=56%"
NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869	NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869		19	-0.6221972	-1.3130554	0.052040815	0.1686805	1	2225	"tags=37%, list=17%, signal=45%"
PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY		70	-0.56484205	-1.3130175	0.004004004	0.16853416	1	3861	"tags=54%, list=30%, signal=78%"
REGULATION OF GLIAL CELL DIFFERENTIATION%GOBP%GO:0045685	REGULATION OF GLIAL CELL DIFFERENTIATION%GOBP%GO:0045685		18	-0.6173453	-1.3128871	0.060081467	0.16859648	1	2124	"tags=28%, list=17%, signal=33%"
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST%GOBP%GO:0006977"	"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST%GOBP%GO:0006977"		41	-0.58030844	-1.3128148	0.02006018	0.16856106	1	3189	"tags=41%, list=25%, signal=55%"
REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030888	REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030888		41	-0.5752227	-1.3127815	0.021021022	0.16844682	1	2788	"tags=37%, list=22%, signal=47%"
NEGATIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0032515	NEGATIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0032515		19	-0.61697006	-1.3127367	0.06448311	0.16832933	1	2375	"tags=37%, list=19%, signal=45%"
ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112	ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112		26	-0.5993397	-1.3123053	0.036217302	0.16910712	1	3947	"tags=62%, list=31%, signal=89%"
CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086003	CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086003		18	-0.6150523	-1.3121274	0.055894308	0.16929209	1	3771	"tags=61%, list=30%, signal=87%"
NEGATIVE REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031345	NEGATIVE REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031345		72	-0.5630024	-1.3120925	0.004	0.1691809	1	3115	"tags=42%, list=24%, signal=55%"
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569	REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0010569		32	-0.58624136	-1.3119422	0.03222558	0.16931117	1	3364	"tags=50%, list=26%, signal=68%"
NEGATIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010923	NEGATIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010923		50	-0.5689546	-1.3119072	0.014	0.16918753	1	2633	"tags=34%, list=21%, signal=43%"
B CELL ACTIVATION%GOBP%GO:0042113	B CELL ACTIVATION%GOBP%GO:0042113		83	-0.5553576	-1.3110293	0.009	0.1709004	1	2402	"tags=37%, list=19%, signal=46%"
"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:0000288"	"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:0000288"		51	-0.57378304	-1.3109919	0.013013013	0.17077747	1	2605	"tags=35%, list=20%, signal=44%"
PHOSPHOLIPID TRANSLOCATION%GOBP%GO:0045332	PHOSPHOLIPID TRANSLOCATION%GOBP%GO:0045332		18	-0.61877525	-1.3109608	0.07017544	0.17064916	1	3106	"tags=56%, list=24%, signal=73%"
RESPONSE TO CAMP%GOBP%GO:0051591	RESPONSE TO CAMP%GOBP%GO:0051591		22	-0.60849154	-1.3108585	0.04069176	0.17066567	1	3451	"tags=59%, list=27%, signal=81%"
BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY	BIOCARTA_RACCYCD_PATHWAY%MSIGDB_C2%BIOCARTA_RACCYCD_PATHWAY		21	-0.61073536	-1.3108124	0.059183672	0.17056869	1	2882	"tags=43%, list=23%, signal=55%"
NEGATIVE REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034763	NEGATIVE REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034763		63	-0.55965567	-1.3107249	0.013	0.17058413	1	2207	"tags=30%, list=17%, signal=36%"
ANGIOGENESIS%PANTHER PATHWAY%P00005	ANGIOGENESIS%PANTHER PATHWAY%P00005		119	-0.5520727	-1.3106807	0.002	0.17047954	1	3726	"tags=48%, list=29%, signal=67%"
COPPER HOMEOSTASIS%WIKIPATHWAYS_20210210%WP3286%HOMO SAPIENS	COPPER HOMEOSTASIS%WIKIPATHWAYS_20210210%WP3286%HOMO SAPIENS		32	-0.58458644	-1.310531	0.03420523	0.1705818	1	3104	"tags=47%, list=24%, signal=62%"
N-CADHERIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%N-CADHERIN SIGNALING EVENTS	N-CADHERIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%N-CADHERIN SIGNALING EVENTS		29	-0.5927753	-1.3101977	0.04012036	0.17116973	1	2387	"tags=41%, list=19%, signal=51%"
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806	REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902806		116	-0.54611367	-1.3096559	0	0.17221391	1	3189	"tags=40%, list=25%, signal=52%"
SYNAPTIC SIGNALING PATHWAYS ASSOCIATED WITH AUTISM SPECTRUM DISORDER%WIKIPATHWAYS_20210210%WP4539%HOMO SAPIENS	SYNAPTIC SIGNALING PATHWAYS ASSOCIATED WITH AUTISM SPECTRUM DISORDER%WIKIPATHWAYS_20210210%WP4539%HOMO SAPIENS		33	-0.5864445	-1.3096142	0.024120603	0.17211697	1	3714	"tags=52%, list=29%, signal=73%"
TNF RELATED WEAK INDUCER OF APOPTOSIS (TWEAK) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2036%HOMO SAPIENS	TNF RELATED WEAK INDUCER OF APOPTOSIS (TWEAK) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2036%HOMO SAPIENS		31	-0.5847568	-1.3094374	0.03722334	0.17229643	1	3082	"tags=48%, list=24%, signal=64%"
T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852		131	-0.54891795	-1.3093266	0.001	0.17235059	1	3183	"tags=40%, list=25%, signal=52%"
TIGHT JUNCTION ORGANIZATION%GOBP%GO:0120193	TIGHT JUNCTION ORGANIZATION%GOBP%GO:0120193		22	-0.597952	-1.3093224	0.060544904	0.1721631	1	3450	"tags=50%, list=27%, signal=68%"
EPHA FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHA FORWARD SIGNALING	EPHA FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHA FORWARD SIGNALING		22	-0.60856664	-1.3092117	0.06281661	0.17222758	1	3657	"tags=55%, list=29%, signal=76%"
CELLULAR RESPONSE TO HEXOSE STIMULUS%GOBP%GO:0071331	CELLULAR RESPONSE TO HEXOSE STIMULUS%GOBP%GO:0071331		20	-0.62128484	-1.309126	0.03346856	0.17222619	1	1841	"tags=30%, list=14%, signal=35%"
PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY		20	-0.6091871	-1.3088394	0.05780933	0.17266782	1	2205	"tags=40%, list=17%, signal=48%"
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0036003	POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0036003		18	-0.61702436	-1.3087962	0.053061225	0.17254965	1	1164	"tags=28%, list=9%, signal=31%"
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000134	NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000134		74	-0.5579189	-1.3086854	0.005	0.17257719	1	3189	"tags=41%, list=25%, signal=54%"
PID_LYSOPHOSPHOLIPID_PATHWAY%MSIGDB_C2%PID_LYSOPHOSPHOLIPID_PATHWAY	PID_LYSOPHOSPHOLIPID_PATHWAY%MSIGDB_C2%PID_LYSOPHOSPHOLIPID_PATHWAY		33	-0.5902094	-1.3086746	0.019038076	0.17240427	1	2745	"tags=42%, list=22%, signal=54%"
NEGATIVE REGULATION OF CATION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904063	NEGATIVE REGULATION OF CATION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904063		45	-0.5711314	-1.3084202	0.019	0.17273557	1	2178	"tags=33%, list=17%, signal=40%"
PID_CD8_TCR_PATHWAY%MSIGDB_C2%PID_CD8_TCR_PATHWAY	PID_CD8_TCR_PATHWAY%MSIGDB_C2%PID_CD8_TCR_PATHWAY		39	-0.5795552	-1.3084142	0.026052104	0.17255162	1	2766	"tags=46%, list=22%, signal=59%"
CALCIUM ION IMPORT%GOBP%GO:0070509	CALCIUM ION IMPORT%GOBP%GO:0070509		23	-0.61150664	-1.30841	0.04863222	0.17236923	1	2705	"tags=43%, list=21%, signal=55%"
TRAIL%IOB%TRAIL	TRAIL%IOB%TRAIL		41	-0.5764865	-1.3083867	0.021021022	0.17222649	1	3211	"tags=44%, list=25%, signal=59%"
MIRNAS INVOLVEMENT IN THE IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20210210%WP4329%HOMO SAPIENS	MIRNAS INVOLVEMENT IN THE IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20210210%WP4329%HOMO SAPIENS		25	-0.5935201	-1.3081884	0.044489384	0.17251183	1	3151	"tags=48%, list=25%, signal=64%"
