"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"2","-1.0","-0.8524","1.0E-4","REGULATION OF 
BETA-CELL 
DEVELOPMENT%REACTOME%R-HSA-186712.2 ","0.005","AKT1|KAT2A|CREBBP|MAML2|MAML1|FOXO1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|AKT2|AKT3|EP300|KAT2B","Regulation of beta-cell development","15","ENR","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2","-1.7694","0.0","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2","false","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2"
"14","-0.999","-0.6886","0.0485","EPIDERMAL GROWTH 
FACTOR RECEPTOR 
SIGNALING 
PATHWAY%GOBP%GO:0007173 ","0.996","GRB2|SOS1|SRC|PTPN11|BRAF|PIK3CA|SHC1|PIK3R1|PDPK1|PTK2B|GAB1|PLCE1|AKT1|TGFB1|PLCG1|PIK3C2A|CBL|IQGAP1|ADAM17|REPS2|NCK2|PTK2|KIF16B|RPS6KA5|AAMP|TGFA|DGKD|EGF","epidermal growth factor receptor signaling pathway","28","ENR","EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173","-1.5188","0.001","EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173","false","EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007173"
"13","-1.0","-0.7361","0.0304","BIOCARTA_GPCR_
PATHWAY%MSIGDB_
C2%BIOCARTA_GPCR_
PATHWAY","0.923","MAP2K1|HRAS|RPS6KA3|CALM2|PRKAR1B|PPP3CA|PRKAR1A|GNAQ|PPP3CC|CREB1|PRKCB|RAF1|PRKCA|NFATC3|NFATC1|FOS|NFATC2|JUN|MAPK3","BIOCARTA_GPCR_PATHWAY","19","ENR","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY","-1.5527","0.0","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY","false","BIOCARTA_GPCR_PATHWAY%MSIGDB_C2%BIOCARTA_GPCR_PATHWAY"
,"-0.9979","-0.7573","0.0195","NEGATIVE 
REGULATION OF 
PROTEIN 
LOCALIZATION TO 
NUCLEUS%GOBP%GO:1900181 ","0.772","GSK3B|LATS2|SIN3A|FLCN|RAB23|OTUD7B|MFHAS1|LILRB4|UFM1|MDFIC|CHP1|SUFU|CTNNA1|POLR1A|LATS1","negative regulation of protein localization to nucleus","15","ENR","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181","-1.5789","0.0021","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181","false","NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181"
,"-0.9959","-0.7183","0.0443","RORA ACTIVATES 
GENE 
EXPRESSION%REACTOME 
DATABASE ID 
RELEASE 
75%1368082 ","0.986","CREBBP|TBL1XR1|NCOA1|MED1|RXRA|HELZ2|EP300|CHD9|TBL1X|NCOA2|PPARA|CARM1|TGS1|CPT1A|SMARCD3|NCOA6|RORA|SREBF1","RORA activates gene expression","18","ENR","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082","-1.5252","0.0041","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082","false","RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 75%1368082"
"6","1.0","0.693","0.0","ANTIBIOTIC 
CATABOLIC 
PROCESS%GOBP%GO:0017001 ","0.0","HBM|HBZ|CAT|AMDHD2|PRDX5|HBB|PCK2|AKR1C3|NAGK|MPO|HBD|PRDX2|HBQ1|SULT1A2|PRDX1|NPL|PXDNL|GPX3|HBG2|HBG1|SULT1A3|GNPDA1|GNPDA2|HBA2|RENBP|SULT1A1|SULT1B1|ADH5|PRDX3|GPX1","antibiotic catabolic process","30","ENR","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001","2.8036","0.0","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001","false","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001"
,"-0.999","-0.7865","0.0045","NEPHRIN FAMILY 
INTERACTIONS%REACTOME 
DATABASE ID 
RELEASE 
75%373753 ","0.239","PIK3R2|SPTAN1|CASK|NCK1|ACTN1|IQGAP1|ACTN4|NCK2|KIRREL3|WASL|PIK3CA|PIK3R1|FYN|MAGI2|SPTBN1|CD2AP|PIK3CB","Nephrin family interactions","17","ENR","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753","-1.6465","0.001","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753","false","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753"
"3","-0.998","-0.6983","0.0445","PID_IL2_STAT5_
PATHWAY%MSIGDB_
C2%PID_IL2_STAT5_
PATHWAY","0.986","IL2RA|GRB2|MYC|SOS1|CCNA2|CCND3|PRF1|CCND2|FOXP3|CDK6|PTPN11|IL2RB|BCL2L1|BCL2|PIK3CA|SHC1|GAB2|PIK3R1|IL2RG|SP1|JAK1|JAK3|LCK|STAT5B","PID_IL2_STAT5_PATHWAY","24","ENR","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY","-1.5262","0.002","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY","false","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY"
,"1.0","0.4329","0.031","FORMATION OF THE 
TERNARY COMPLEX, 
AND 
SUBSEQUENTLY, 
THE 43S 
COMPLEX%REACTOME%R-HSA-72695.2 ","0.118","EIF3M|RPS14|EIF3K|RPS17|EIF3L|RPS16|EIF3I|EIF3J|RPS19|EIF3G|RPS18|EIF3H|EIF3E|EIF3F|EIF3C|EIF3D|EIF3A|EIF3B|RPS11|RPS10|RPS13|RPS12|RPS9|RPS7|RPS8|RPS5|RPS3A|RPSA|EIF2S3|EIF2S2|EIF2S1|RPS27L|RPS4Y1|RPS15A|RPS3|RPS27A|RPS26|RPS25|RPS28|RPS27|RPS29|RPS20|FAU|RPS6|RPS21|RPS24|RPS23|RPS2|RPS15|EIF1AX|RPS4X","Formation of the ternary complex, and subsequently, the 43S complex","51","ENR","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2","1.898","0.0","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2","false","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2"
"3","-1.0","-0.7555","0.0068","IL-7 SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO 
SAPIENS ","0.356","CDKN1B|PIK3R2|GSK3B|IL2RA|MYC|MAP2K1|BCL2L1|STAT1|MAP2K2|STAT3|PIK3R1|BAD|IL2RG|MAPK1|PTK2B|IL7|FYN|IL7R|JAK1|JAK3|MAPK3|STAT5B","IL-7 Signaling Pathway","22","ENR","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS","-1.6264","0.0","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS","false","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS"
"4","1.0","0.608","0.007","DISRUPTION OF 
CELLS OF OTHER 
ORGANISM%GOBP%GO:0044364 ","0.011","ROMO1|APOL1|RPS19|DEFA3|PGLYRP1|GAPDH|GNLY|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|S100A12|PF4|LTF|HMGN2","disruption of cells of other organism","16","ENR","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364","2.1789","0.0","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364","false","DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364"
"1","-1.0","-0.6819","0.0279","PID_VEGFR1_2_
PATHWAY%MSIGDB_
C2%PID_VEGFR1_2_
PATHWAY","0.895","FES|GRB2|SRC|ROCK1|PXN|PTPN11|ARF1|BRAF|PRKCB|ITGB3|PRKCA|RAF1|CDC42|FLT1|ITGAV|PIK3CA|HSP90AB1|MYOF|PRKAB1|MAP2K2|VEGFA|NEDD4|PRKAG1|SHB|PIK3R1|PDPK1|PRKAA1|MAPK1|CTNNB1|PTK2B|MAPKAPK2|FYN|HGS|SH2D2A|CTNNA1|CAMKK2|MAPK3|MAP2K1|NCK1|CBL|NCK2|PTPN6|MAP2K3|MAPK14|GRB10|MAP2K6","PID_VEGFR1_2_PATHWAY","46","ENR","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY","-1.559","0.0","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY","false","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY"
,"-1.0","-0.7229","0.0186","INITIATION OF 
TRANSCRIPTION 
AND TRANSLATION 
ELONGATION AT THE 
HIV-1 
LTR%WIKIPATHWAYS_20210210%WP3414%HOMO 
SAPIENS ","0.746","CREBBP|SUPT4H1|PPP3CA|PPP3R1|PPP3CC|NFKBIA|NELFB|NELFCD|NELFA|HEXIM1|EP300|NFATC3|NFATC1|SUPT5H|CDK9|NFATC2|HDAC8|HDAC5|HDAC4|HDAC9|HDAC7|HDAC2|HDAC1|SP1|RELA|NFKB1","Initiation of transcription and translation elongation at the HIV-1 LTR","26","ENR","INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20210210%WP3414%HOMO SAPIENS","-1.582","0.0","INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20210210%WP3414%HOMO SAPIENS","false","INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20210210%WP3414%HOMO SAPIENS"
,"-0.999","-0.717","0.0426","PID_REELIN_
PATHWAY%MSIGDB_
C2%PID_REELIN_
PATHWAY","0.982","GSK3B|MAPK8|RAPGEF1|CRKL|CBL|NCK2|MAP3K11|PAFAH1B1|DAB1|CDK5R1|PIK3CA|LRPAP1|ARHGEF2|ITGB1|PIK3R1|LRP8|FYN|CDK5|RAP1A","PID_REELIN_PATHWAY","19","ENR","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY","-1.5309","0.001","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY","false","PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY"
,"-0.9948","-0.7206","0.0499","BIOCARTA_IL12_
PATHWAY%MSIGDB_
C2%BIOCARTA_IL12_
PATHWAY","1.0","MAPK8|STAT4|CXCR3|IL12RB1|CCR5|IL18R1|CD3G|CD3E|CD3D|CD247|IL18|TYK2|JUN|MAPK14|MAP2K6","BIOCARTA_IL12_PATHWAY","15","ENR","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY","-1.5135","0.0052","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY","false","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY"
,"-1.0","-0.6747","0.0381","REGULATION OF 
PROTEIN TYROSINE 
KINASE 
ACTIVITY%GOBP%GO:0061097 ","0.968","DOCK3|NEDD9|PRNP|SRC|RAP2B|SH3BP5|STAP1|DOK7|PTPRC|APP|RAP2C|SHC1|LILRB4|FYN|PTPN1|CBL|ADAM17|NCK2|MVP|PDGFB|BDNF|CASS4|ZGPAT|NCF1|VPS25|FBXW7|TSG101|SNX6|DLG4|CBLB|TGFA|GAS6|ZFYVE28|EGF|DUSP22|HYAL2|SOCS4|CSF1R|EPHA4|LRP8|LILRA5|UNC119|FCGR1A|DLG3|SOCS5","regulation of protein tyrosine kinase activity","45","ENR","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097","-1.5382","0.0","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097","false","REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061097"
"6","1.0","0.7563","0.0","HYDROGEN 
PEROXIDE 
METABOLIC 
PROCESS%GOBP%GO:0042743 ","0.0","HBM|PXDNL|HBZ|GPX3|CAT|HBG2|HBG1|PRDX5|HBB|SOD1|DUOX1|HBA2|CYBA|MPO|HBD|ACOX1|PRDX2|HBQ1|PRDX3|PARK7|PRDX1|GPX1","hydrogen peroxide metabolic process","22","ENR","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743","3.0284","0.0","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743","false","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743"
,"-1.0","-0.7349","0.0029","PATHWAYS 
AFFECTED IN 
ADENOID CYSTIC 
CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO 
SAPIENS ","0.147","CEBPA|KANSL1|MYC|HRAS|BCOR|CREBBP|MYB|DTX4|BRCA1|TLK1|SMC1A|BCORL1|NOTCH1|PTEN|RAF1|ATM|NCOR1|EP300|PIK3CA|MYBL1|ERBB2|MAP2K2|SETD2|CHEK2|ARID1A|FOXO3|FBXW7|KMT2C|JMJD1C|ARID4B|HIST1H1E|CMTR2|KDM6B|HIST1H2AK|CTBP1|ARID5B|MORF4L1|KAT6A|MYCBP|PRKDC|SRCAP|MGA|SMARCE1","Pathways Affected in Adenoid Cystic Carcinoma","43","ENR","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS","-1.6678","0.0","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS","false","PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS"
"2","-1.0","-0.7909","0.004","NOTCH3 
INTRACELLULAR 
DOMAIN REGULATES 
TRANSCRIPTION%REACTOME%R-HSA-9013508.1 ","0.203","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|EP300|STAT1|KAT2B|PLXND1|PTCRA|PBX1","NOTCH3 Intracellular Domain Regulates Transcription","15","ENR","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1","-1.6535","0.0","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1","false","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1"
"9","-0.999","-0.6996","0.0479","HISTONE 
DEMETHYLATION%GOBP%GO:0016577 ","0.996","KDM2B|KDM4A|KDM4B|KDM4C|KDM5B|PHF8|KDM8|KDM1A|KDM3A|JMJD1C|KDM6B|KDM5A|KDM5C|KDM5D|UTY|KDM6A|KDM1B|KDM7A|KDM3B|JMJD6|KDM2A","histone demethylation","21","ENR","HISTONE DEMETHYLATION%GOBP%GO:0016577","-1.5175","0.001","HISTONE DEMETHYLATION%GOBP%GO:0016577","false","HISTONE DEMETHYLATION%GOBP%GO:0016577"
"12","-1.0","-0.6988","0.0243","RUNX1 REGULATES 
GENES INVOLVED IN 
MEGAKARYOCYTE 
DIFFERENTIATION 
AND PLATELET 
FUNCTION%REACTOME 
DATABASE ID 
RELEASE 
75%8936459 ","0.853","CBFB|EP300|KAT2B|RUNX1|TNRC6C|AGO3|AGO4|AGO1|TNRC6A|TNRC6B|HDAC1|GATA1|NFE2|PRKCQ|WDR5|PRMT6|GP1BA|PRMT1|MYL9|KMT2E|KMT2D|KMT2C|KMT2A|SIN3A|DPY30|THBS1|SIN3B|RBBP5|SETD1B|SETD1A|ASH2L|MOV10|PF4|ZFPM1|ITGA2B","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","35","ENR","RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 75%8936459","-1.5666","0.0","RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 75%8936459","false","RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION%REACTOME DATABASE ID RELEASE 75%8936459"
,"-0.9969","-0.7354","0.0377","N-GLYCAN 
PROCESSING%GOBP%GO:0006491 ","0.971","ST8SIA1|MAN1A2|MAN2A2|PRKCSH|MAN2A1|MGAT4A|MGAT4B|GANAB|MAN1C1|MAN1B1|ST8SIA4|MAN1A1|FUT8|GANC|ST8SIA6|GNPTAB","N-glycan processing","16","ENR","N-GLYCAN PROCESSING%GOBP%GO:0006491","-1.5371","0.0031","N-GLYCAN PROCESSING%GOBP%GO:0006491","false","N-GLYCAN PROCESSING%GOBP%GO:0006491"
"5","-0.9969","-0.7159","0.0494","REGULATION OF 
MICROTUBULE 
DEPOLYMERIZATION%GOBP%GO:0031114 ","1.0","CLASP1|MID1IP1|CLASP2|NAV3|CIB1|CAMSAP1|CAMSAP2|TTBK2|ATXN7|KATNB1|APC|ARHGEF2|MAP1S|MAP1A|APC2|TAOK1|FGF13","regulation of microtubule depolymerization","17","ENR","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114","-1.5135","0.0031","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114","false","REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0031114"
,"-0.9969","-0.7714","0.013","NUCLEUS 
LOCALIZATION%GOBP%GO:0051647 ","0.6","SYNE2|PAFAH1B1|PCM1|CEP120|TMEM201|CLMN|HOOK3|MTOR|FBXW11|DYNC1H1|DCTN1|SUN2|SLC9A3R1|DOCK7|SYNE3","nucleus localization","15","ENR","NUCLEUS LOCALIZATION%GOBP%GO:0051647","-1.5988","0.0031","NUCLEUS LOCALIZATION%GOBP%GO:0051647","false","NUCLEUS LOCALIZATION%GOBP%GO:0051647"
,"-0.998","-0.7245","0.0292","BIOCARTA_EIF4_
PATHWAY%MSIGDB_
C2%BIOCARTA_EIF4_
PATHWAY","0.911","RPS6KB1|PRKCB|PTEN|PRKCA|EIF4A2|PIK3CA|EIF4A1|MTOR|PABPC1|IRS1|MKNK1|PDK2|EIF4E|PIK3R1|PDPK1|MAPK1|EIF4G1|MAPK14|EIF4EBP1|MAPK3","BIOCARTA_EIF4_PATHWAY","20","ENR","BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY","-1.5559","0.002","BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY","false","BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY"
"11","-1.0","-0.6824","0.0327","PID_FAK_
PATHWAY%MSIGDB_
C2%PID_FAK_
PATHWAY","0.946","MAPK8|GRB2|SOS1|SRC|MAP2K4|PXN|RRAS|ITGB5|BRAF|SH3GL1|ARHGAP26|RAF1|KLF8|CRK|TLN1|ITGAV|MAPK9|PIK3CA|MAPK8IP3|ELMO1|ARHGEF28|ASAP1|ARHGAP35|ARHGEF11|ITGB1|PIK3R1|GIT2|DOCK1|MAPK1|JUN|PAK1|FYN|RAPGEF1|MAP2K1|NCK1|ACTN1|NCK2|WASL|YES1|BMX|ROCK2|RAP1A|RAC1","PID_FAK_PATHWAY","43","ENR","PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY","-1.5479","0.0","PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY","false","PID_FAK_PATHWAY%MSIGDB_C2%PID_FAK_PATHWAY"
"1","-1.0","-0.7873","0.0065","BIOCARTA_HCMV_
PATHWAY%MSIGDB_
C2%BIOCARTA_HCMV_
PATHWAY","0.34","MAP2K1|CREB1|PIK3CA|MAP2K2|PIK3R1|SP1|MAPK1|MAP2K3|MAPK14|RB1|MAP3K1|RELA|MAP2K6|MAPK3|NFKB1","BIOCARTA_HCMV_PATHWAY","15","ENR","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY","-1.6295","0.0","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY","false","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY"
,"-0.999","-0.7874","0.0041","REGULATION OF 
ESTABLISHMENT OR 
MAINTENANCE OF 
CELL 
POLARITY%GOBP%GO:0032878 ","0.211","KANK1|ARFGEF1|TEK|ROCK1|GSN|RAP1B|RUFY3|FLOT2|LLGL1|LLGL2|PTK2B|KRIT1|DOCK8|BCAS3|ROCK2|KIF20B","regulation of establishment or maintenance of cell polarity","16","ENR","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878","-1.6507","0.001","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878","false","REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878"
"5","-1.0","-0.691","0.0234","NEGATIVE 
REGULATION OF 
PROTEIN COMPLEX 
DISASSEMBLY%GOBP%GO:0043242 ","0.839","MID1IP1|FLII|TRIOBP|CAPZB|GSN|NAV3|CIB1|CAPG|ADD3|CAMSAP1|CAMSAP2|TTBK2|ATXN7|VILL|EPS8|ADD2|PIK3CA|KATNB1|TWF1|PHF23|ADD1|APC|ARHGEF2|SCAF4|TWF2|APC2|TMEM39A|SCAF8|HDAC6|TAOK1|UBQLN4|TNF|FGF13|AVIL|CLASP1|CLASP2|IRAK3|CAPZA1|CAPZA2|LIMA1|SVIL|CLEC16A","negative regulation of protein complex disassembly","42","ENR","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242","-1.5688","0.0","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242","false","NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242"
,"-1.0","-0.6921","0.0442","PID_HES_HEY_
PATHWAY%MSIGDB_
C2%PID_HES_HEY_
PATHWAY","0.986","CDKN1B|CREBBP|MAML2|MYB|MAML1|RBPJ|NOTCH1|NCOR1|EP300|STAT3|PARP1|CAMK2D|HDAC1|KDM1A|GATA1|RUNX2|NCOR2|NCOA1|SPEN|GAA|RCAN1|RBBP8|HIF1A|YY1|TCF3|CTBP1|RB1","PID_HES_HEY_PATHWAY","27","ENR","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY","-1.5258","0.0","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY","false","PID_HES_HEY_PATHWAY%MSIGDB_C2%PID_HES_HEY_PATHWAY"
,"1.0","0.3249","0.0286","OXIDATIVE 
PHOSPHORYLATION%GOBP%GO:0006119 ","0.1","UQCRC2|SURF1|NDUFA4|COX6C|CYCS|NDUFAF1|TEFM|NDUFAB1|SDHC|SDHD|SDHA|CYC1|NDUFV3|NDUFV2|NDUFB10|NDUFV1|NDUFB11|UQCRFS1|NDUFS8|NDUFS7|NDUFS6|NDUFS5|NDUFS4|NDUFS3|NDUFS2|NDUFS1|NDUFC2|NDUFC1|UQCR11|UQCR10|UQCRB|UQCRH|NDUFB9|NDUFB8|NDUFA13|NDUFA11|NDUFB7|NDUFA12|NDUFA10|NDUFB6|NDUFB5|NDUFB4|NDUFB3|NDUFB2|NDUFB1|UQCRQ|NDUFA9|NDUFA8|NDUFA7|NDUFA6|NDUFA5|NDUFA3|NDUFA2|CHCHD10|NDUFA1|COX7B|COX4I1|COX6A1|COX7C|SDHAF2|COA6|COX8A|TAZ|COX6B1|COX7A2L|STOML2|COX15|COX10|COX5B|UQCRC1|COX5A","oxidative phosphorylation","71","ENR","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119","1.9214","0.0","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119","false","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119"
,"-1.0","-0.7597","0.0062","BIOCARTA_VDR_
PATHWAY%MSIGDB_
C2%BIOCARTA_VDR_
PATHWAY","0.325","CREBBP|HDAC1|NCOA1|MED1|RXRA|PRMT1|ARID1A|SMARCD1|NCOR1|SUPT16H|EP300|KAT2B|SMARCC1|SMARCC2|SMARCA4|CARM1|ACTL6A|BAZ1B|CHAF1A|TSC2|SMARCE1","BIOCARTA_VDR_PATHWAY","21","ENR","BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY","-1.6314","0.0","BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY","false","BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY"
,"-0.9969","-0.7386","0.0421","PHYSIOLOGICAL 
AND PATHOLOGICAL 
HYPERTROPHY  OF 
THE 
HEART%WIKIPATHWAYS_20210210%WP1528%HOMO 
SAPIENS ","0.982","MAPK8|CAMK2D|IL6ST|PPP3CA|CALM2|PRKCB|FOS|PRKCE|MYEF2|STAT3|MAPK1|JUN|MAP2K3|MAPK14|RAC1","Physiological and Pathological Hypertrophy  of the Heart","15","ENR","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS","-1.5304","0.0031","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS","false","PHYSIOLOGICAL AND PATHOLOGICAL HYPERTROPHY  OF THE HEART%WIKIPATHWAYS_20210210%WP1528%HOMO SAPIENS"
